2025-04-13 15:31:44.083048+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetInteger64vEXT in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetInteger64vEXT): symbol not found
2025-04-13 15:31:44.083080+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetInternalformati64v in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetInternalformati64v): symbol not found
2025-04-13 15:31:44.083101+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetNamedBufferParameteri64v in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetNamedBufferParameteri64v): symbol not found
2025-04-13 15:31:44.083112+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetNamedBufferParameteriv in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetNamedBufferParameteriv): symbol not found
2025-04-13 15:31:44.083122+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetNamedBufferPointerv in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetNamedBufferPointerv): symbol not found
2025-04-13 15:31:44.083132+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetNamedBufferSubData in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetNamedBufferSubData): symbol not found
2025-04-13 15:31:44.083142+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetNamedFramebufferAttachmentParameteriv in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetNamedFramebufferAttachmentParameteriv): symbol not found
2025-04-13 15:31:44.083153+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetNamedFramebufferParameteriv in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetNamedFramebufferParameteriv): symbol not found
2025-04-13 15:31:44.083164+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetNamedRenderbufferParameteriv in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetNamedRenderbufferParameteriv): symbol not found
2025-04-13 15:31:44.083175+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetObjectLabel in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetObjectLabel): symbol not found
2025-04-13 15:31:44.083185+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetObjectLabelKHR in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetObjectLabelKHR): symbol not found
2025-04-13 15:31:44.083195+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetObjectPtrLabel in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetObjectPtrLabel): symbol not found
2025-04-13 15:31:44.083205+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetObjectPtrLabelKHR in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetObjectPtrLabelKHR): symbol not found
2025-04-13 15:31:44.083224+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetPointervKHR in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetPointervKHR): symbol not found
2025-04-13 15:31:44.083243+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetProgramInterfaceiv in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetProgramInterfaceiv): symbol not found
2025-04-13 15:31:44.083268+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetProgramResourceIndex in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetProgramResourceIndex): symbol not found
2025-04-13 15:31:44.083279+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetProgramResourceLocation in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetProgramResourceLocation): symbol not found
2025-04-13 15:31:44.083289+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetProgramResourceLocationIndex in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetProgramResourceLocationIndex): symbol not found
2025-04-13 15:31:44.083301+0800 vlc-3-demo[23755:38419145] [loading] dlsym cannot find symbol glGetProgramResourceName in CFBundle 0x123fdf1e0 </System/Library/Frameworks/OpenGL.framework> (framework, loaded): dlsym(0x3e6ee27a9, glGetProgramResourceName): symbol not found
